第0类
		司机	0.06323185011709602
		打表	0.05542544886807182
		乘坐	0.039812646370023415
		东城	0.03200624512099922
		要求	0.024199843871975022
		出租车	0.024199843871975022
		不	0.024199843871975022
		是	0.024199843871975022
		车牌	0.01639344262295082
		拒载	0.01639344262295082
		支付	0.01639344262295082
		地方	0.01639344262295082
		行驶	0.01639344262295082
		路线	0.01639344262295082
		虎门	0.01639344262295082
第1类
		司机	0.08204711616571893
		50元	0.025182778229082048
		车费	0.025182778229082048
		没有	0.025182778229082048
		乘客	0.025182778229082048
		下车	0.025182778229082048
		其他	0.025182778229082048
		该	0.017059301380991064
		不	0.017059301380991064
		葛先生	0.017059301380991064
		广州	0.017059301380991064
		驱赶	0.017059301380991064
		安排	0.017059301380991064
		退还	0.017059301380991064
		对	0.017059301380991064
第2类
		小区	0.04583020285499624
		胖大夫荷香茶	0.030803906836964687
		停电	0.023290758827948913
		正常	0.023290758827948913
		客服	0.023290758827948913
		健客网	0.023290758827948913
		寮步镇	0.015777610818933134
		莞樟路	0.015777610818933134
		附近	0.015777610818933134
		嘉湖山庄	0.015777610818933134
		已有	0.015777610818933134
		居民	0.015777610818933134
		咨询	0.015777610818933134
		供电公司	0.015777610818933134
		电路	0.015777610818933134
